가게이름,메뉴명,가격
유즈라멘 만리동점,유즈시오라멘,"12,000원"
유즈라멘 만리동점,유즈쇼유라멘,"12,000원"
유즈라멘 만리동점,매운유즈시오라멘,"13,000원"
유즈라멘 만리동점,매운유즈쇼유라멘,"13,000원"
유즈라멘 만리동점,유즈츠케멘,"14,000원"
유즈라멘 만리동점,치킨가라아게,"6,000원"
유즈라멘 만리동점,고기만두,"6,000원"
유즈라멘 만리동점,하이볼,"8,000원"
만리재비스트로,토마토해산물파스타,"19,000원"
만리재비스트로,포테이토뇨끼,"20,000원"
만리재비스트로,관자바질페스토파스타,"20,000원"
만리재비스트로,초리조알리오올리오,"19,000원"
만리재비스트로,엔초비봉골레파스타,"18,000원"
만리재비스트로,스테이크피자,"24,000원"
만리재비스트로,비스마르크피자,"20,000원"
만리재비스트로,고르곤졸라피자,"19,000원"
만리재비스트로,프로슈토루꼴라피자,"19,000원"
만리재비스트로,마르게리따피자,"19,000원"
만리재비스트로,잠봉뵈르피자,"19,000원"
만리재비스트로,갈릭새우피자,"19,000원"
만리재비스트로,페퍼로니피자,"19,000원"
공일부엌,우대 소 갈비 정식 [Braised soy Beef Galbi],"19,000원"
공일부엌,불낙 볶음 [Spicy Stir-fried Octopus & Bulgogi],"40,000원"
공일부엌,한돈 묵은지 김치찜 [Kimchi zzim],"12,000원"
공일부엌,불고기 샐러드 비빔밥 [Bulgogi salad Bibimbap],"13,000원"
공일부엌,대창 깍두기 볶음밥 [Kkakdugi rice(+Cheese)],"12,000원"
공일부엌,직화 낙지 비빔밥 [Spicy Octopus Bibimbap],"13,000원"
공일부엌,직화 고등어 구이 [Grilled Salted Mackerel],"14,000원"
공일부엌,돼지 갈비찜 정식 [Spicy Braised Pork Galbi],"16,000원"
공일부엌,능이버섯 양곰탕 [Mushroom & Beef Tripe Soup],"16,000원"
공일부엌,한우 소고기 뭇국 [Korean Beef and Radish Soup],"13,000원"
공일부엌,낙지 볶음 [ Spicy Stir-fried Octopus],"30,000원"
공일부엌,찜닭 대 [Braised SoyChicken / jjim-dak],"40,000원"
공일부엌,곱도리탕 [Spicy Braised Chicken],"38,000원"
공일부엌,깻잎 대창 떡볶이 [perilla leaf tteokbokki],"30,000원"
공일부엌,호감전 [Pumpkin&Potato-pancake / Hogam-jeon],"17,000원"
공일부엌,김치전 [Kimchi-pancake / Kimchi-jeon],"12,000원"
공일부엌,천년 수육,"38,000원"
공일부엌,스지 오뎅탕,"30,000원"
공일부엌,닭도리탕,"30,000원"
도마 중림점,스페셜모듬 (300g),"61,000원"
도마 중림점,도마 모듬 B (150g),"29,000원"
도마 중림점,도마 모듬 A (150g),"27,000원"
도마 중림점,마약된장찌개,"8,000원"
도마 중림점,꽃살,"39,000원"
도마 중림점,호주 와규등심,"35,000원"
도마 중림점,진갈비살,"35,000원"
도마 중림점,갈비본살,"28,000원"
도마 중림점,생갈비살,"20,000원"
도마 중림점,초신선 한우 뭉티기(130g),"27,000원"
도마 중림점,마약된장술밥,"15,000원"
도마 중림점,초신선 한우 육회(130g),"21,000원"
도마 중림점,육회냉면,"15,000원"
도마 중림점,육회비빔밥,"14,000원"
도마 중림점,된장비빔밥/약고추장비빔밥,"9,000원"
도마 중림점,비빔냉면/물냉면,"8,000원"
도마 중림점,갈비솥밥 단품,"18,000원"
도마 중림점,특상 한우 우설,"30,000원"
국민회관,냉동삼겹살(160g),"15,000원"
국민회관,우삼겹(160g),"15,000원"
국민회관,로스목살(160g),"15,000원"
국민회관,로얄껍데기(200g),"10,900원"
국민회관,돼지꼬리(200g),"9,000원"
국민회관,김치비지찌개,"7,000원"
국민회관,소고기된장찌개,"7,000원"
국민회관,물김치쫄면,"6,900원"
국민회관,비빔면,"4,900원"
정원레스토랑 어반가든,[평일런치] 파스타 1인,"25,000원"
정원레스토랑 어반가든,[평일런치] 2인~4인세트,변동가격
정원레스토랑 어반가든,어반가든 전메뉴 홈페이지 확인가능,변동가격
정원레스토랑 어반가든,어반가든파스타,"21,900원"
정원레스토랑 어반가든,관자알리오올리오,"21,900원"
정원레스토랑 어반가든,명란 로제파스타,"21,900원"
정원레스토랑 어반가든,"해산물 파스타(오일,크림,토마토)","23,500원"
정원레스토랑 어반가든,트러플 풍기 파스타,"24,900원"
정원레스토랑 어반가든,누룽지 빼쉐 파스타,"29,900원"
정원레스토랑 어반가든,새우 로제 리조또,"21,900원"
정원레스토랑 어반가든,비프 함박스테이크,"43,000원"
정원레스토랑 어반가든,꽃등심 스테이크(350g),"69,000원"
정원레스토랑 어반가든,어반가든 피자,"23,000원"
정원레스토랑 어반가든,루꼴라 가든 피자,"24,000원"
정원레스토랑 어반가든,샥슈카 살라미 피자,"26,000원"
정원레스토랑 어반가든,어반가든 샐러드,"15,000원"
정원레스토랑 어반가든,그릴에 구운 알배추 시저샐러드,"19,500원"
정원레스토랑 어반가든,커플 세트 (2인),변동가격
정원레스토랑 어반가든,패밀리세트(3인/4인/5인),변동가격
중림장,설렁탕,"12,000원"
중림장,특 설렁탕,"15,000원"
중림장,도가니탕,"16,000원"
중림장,꼬리탕,"18,000원"
중림장,양지수육,"40,000원"
중림장,도가니수육,"40,000원"
중림장,꼬리수육,"50,000원"
중림장,반반수육,"40,000원"
중림장,모듬수육,"50,000원"
봉래축산,소양념갈비 한근(600g),"49,000원"
